repDS,year,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday
GHA_ecozone1,2020,0.368493072,0.459164498,0.342350367,0.317512273,0.319067389,0.393201897,0.53,1,june,162
GHA_ecozone1,2023,0.368493072,0.459164498,0.342350367,0.317512273,0.319067389,0.393201897,0.53,2,june,1257
GHA_ecozone1,2026,0.368493072,0.459164498,0.342350367,0.317512273,0.319067389,0.393201897,0.53,3,june,2352
GHA_ecozone1,2029,0.368493072,0.459164498,0.342350367,0.317512273,0.319067389,0.393201897,0.53,4,june,3447
GHA_ecozone2,2020,0.368493072,0.550997398,0.41082044,0.381014728,0.319067389,0.393201897,0.53,1,june,162
GHA_ecozone2,2023,0.368493072,0.550997398,0.41082044,0.381014728,0.319067389,0.393201897,0.53,2,june,1257
GHA_ecozone2,2026,0.368493072,0.550997398,0.41082044,0.381014728,0.319067389,0.393201897,0.53,3,june,2352
GHA_ecozone2,2029,0.368493072,0.550997398,0.41082044,0.381014728,0.319067389,0.393201897,0.53,4,june,3447
GHA_ecozone3,2020,0.368493072,0.445389563,0.332079856,0.307986905,0.319067389,0.393201897,0.53,1,june,162
GHA_ecozone3,2023,0.368493072,0.445389563,0.332079856,0.307986905,0.319067389,0.393201897,0.53,2,june,1257
GHA_ecozone3,2026,0.368493072,0.445389563,0.332079856,0.307986905,0.319067389,0.393201897,0.53,3,june,2352
GHA_ecozone3,2029,0.368493072,0.445389563,0.332079856,0.307986905,0.319067389,0.393201897,0.53,4,june,3447
